t;k;z;done;failed
427.1157249533695;1;1;210;203
427.6827399986516;1;1;210;204
428.64184831525637;0;0;211;204
429.3995732103537;1;1;211;204
429.75507581629546;0;0;212;204
430.0765061447882;1;1;212;204
431.61054172910525;1;1;212;205
432.19866740649206;1;1;212;206
432.48788161424307;1;1;212;207
433.37495847116674;1;1;212;208
433.5047774058515;1;1;212;209
434.20071364449547;0;0;213;209
434.608751780019;1;1;213;209
434.81305528265113;0;0;214;209
435.04104110728605;1;1;214;209
437.13160338196576;0;0;215;209
437.4444939812269;1;1;215;209
438.4978545135046;0;0;216;209
439.0010301667628;1;1;216;209
439.0632443288049;1;1;216;210
439.722134225359;1;1;216;211
440.2451742016767;1;1;216;212
440.9707103689987;0;0;217;212
441.71515857936396;1;1;217;212
442.3451884280467;0;0;218;212
442.3592817999865;1;1;218;212
443.2533962840417;1;1;218;213
447.4956682993883;0;0;219;213
449.82142920689216;1;1;219;213
449.92551575321914;1;1;219;214
449.9895253137519;1;1;219;215
450.0389596047395;1;1;219;216
450.0566195180123;0;0;220;216
450.62971632867107;1;1;220;216
452.2970509170904;0;0;221;216
454.39100048525984;1;1;221;216
454.427638791588;0;0;222;216
454.6671829566259;1;1;222;216
455.9937446348634;1;1;222;217
456.3220409467506;0;0;223;217
456.9172126180413;1;1;223;217
457.01611398639346;1;1;223;218
457.3154043331323;1;1;223;219
458.54938318927054;0;0;224;219
458.66827257413945;1;1;224;219
458.8071248499194;1;1;224;220
459.1625300589314;1;1;224;221
459.7681149733598;0;0;225;221
459.8100709052972;1;1;225;221
461.10622473981783;1;1;225;222
461.42412612630994;0;0;226;222
461.84856417954074;1;1;226;222
461.9241844920398;0;0;227;222
462.408144555224;1;1;227;222
463.59393217607766;0;0;228;222
463.8693018126607;1;1;228;222
464.419225969032;1;1;228;223
464.58303345164035;0;0;229;223
465.1299266960017;1;1;229;223
465.95763860894454;0;0;230;223
466.33788563709004;1;1;230;223
466.383186641565;0;0;231;223
467.31222546726445;1;1;231;223
467.5516179067153;1;1;231;224
467.88699539056785;1;1;231;225
468.7815280046963;0;0;232;225
469.0711654954735;1;1;232;225
469.2843390936049;0;0;233;225
469.81528200689587;1;1;233;225
470.27994979749985;0;0;234;225
470.5885476974601;1;1;234;225
471.54873366806817;1;1;234;226
471.7427886198707;1;1;234;227
472.7785180786963;0;0;235;227
472.9333066076537;1;1;235;227
473.6615994933387;0;0;236;227
473.75353821343487;1;1;236;227
474.2073426878039;0;0;237;227
474.5414258053356;1;1;237;227
474.7408350269001;1;1;237;228
478.11983217390235;0;0;238;228
478.3075418980821;1;1;238;228
478.49734285510357;1;1;238;229
478.760462345568;1;1;238;230
479.519748130556;0;0;239;230
479.65242954437883;1;1;239;230
481.80231700481386;0;0;240;230
481.82082665223135;1;1;240;230
482.14500709193504;1;1;240;231
482.55977848889256;0;0;241;231
482.81906108682267;1;1;241;231
482.9131036180521;1;1;241;232
485.3586199565117;0;0;242;232
485.3971523410678;1;1;242;232
486.35131384945174;0;0;243;232
486.8384011425877;1;1;243;232
486.9845282821634;1;1;243;233
487.7457892704133;0;0;244;233
487.78811407611624;1;1;244;233
489.00461481794207;0;0;245;233
489.0090198984947;1;1;245;233
489.01777235502334;0;0;246;233
489.2769835269329;1;1;246;233
489.57674715569254;1;1;246;234
489.96946591268676;1;1;246;235
490.1240828791923;1;1;246;236
490.2916113962995;1;1;246;237
491.36198773440753;1;1;246;238
492.2097785362594;0;0;247;238
492.34233408871836;1;1;247;238
493.0626108019094;0;0;248;238
493.1097096887616;1;1;248;238
495.0584885055171;1;1;248;239
495.341331972584;0;0;249;239
495.6062434783708;1;1;249;239
495.675184187671;0;0;250;239
496.08162805944454;1;1;250;239
497.32866862046086;1;1;250;240
497.5877845656116;1;1;250;241
497.63161502017874;1;1;250;242
498.8606456382526;1;1;250;243
499.5439119748352;1;1;250;244
499.92993610185437;1;1;250;245
500.8697546377588;0;0;251;245
501.0242751133183;1;1;251;245
501.0454294618508;0;0;252;245
501.378941834224;1;1;252;245
501.54778503214357;0;0;253;245
501.6154344030296;1;1;253;245
501.6548013777263;1;1;253;246
502.02730640022;0;0;254;246
503.20228466901295;1;1;254;246
505.12541927817307;0;0;255;246
505.55046134459815;1;1;255;246
506.7610223328618;0;0;256;246
507.1118525550372;1;1;256;246
507.1569704814633;1;1;256;247
508.81814044915234;0;0;257;247
508.8765007598955;1;1;257;247
509.64255401570597;0;0;258;247
510.37456776872466;1;1;258;247
510.3928247987439;1;1;258;248
510.5741196390167;1;1;258;249
511.17583333313473;0;0;259;249
511.21732956099856;1;1;259;249
511.91888019111343;1;1;259;250
512.0651653600402;1;1;259;251
512.9453153829139;0;0;260;251
513.6468474866194;1;1;260;251
514.9455964401799;0;0;261;251
515.7485702150797;1;1;261;251
516.4765700164909;0;0;262;251
517.1687715097274;1;1;262;251
517.6637882669168;0;0;263;251
519.0668112811327;1;1;263;251
519.1946769211437;0;0;264;251
520.7581473695614;1;1;264;251
521.6548609112151;1;1;264;252
522.104162059794;1;1;264;253
522.7902410155615;0;0;265;253
523.1466771579156;1;1;265;253
524.2512964585511;1;1;265;254
524.6143669808727;0;0;266;254
524.6777304137435;1;1;266;254
526.137073338802;0;0;267;254
526.9262005663344;1;1;267;254
527.0360751980761;1;1;267;255
527.4593249489549;0;0;268;255
527.4837660178249;1;1;268;255
528.365894020015;0;0;269;255
528.4372704855496;1;1;269;255
528.9419769547688;0;0;270;255
529.0334324152697;1;1;270;255
529.0741969543488;0;0;271;255
529.576188259088;1;1;271;255
530.1797148825724;1;1;271;256
530.3096687931652;1;1;271;257
530.4196734924791;0;0;272;257
530.9187781363509;1;1;272;257
530.9847698060765;0;0;273;257
531.5956890411476;1;1;273;257
532.7278283483408;1;1;273;258
534.322529650531;0;0;274;258
534.9430639764465;1;1;274;258
535.3536817769378;1;1;274;259
535.817757975826;1;1;274;260
536.8399248751649;1;1;274;261
537.3479675128791;0;0;275;261
538.0679731289349;1;1;275;261
538.1596213704903;0;0;276;261
538.5100994110929;1;1;276;261
539.9862635330195;0;0;277;261
540.4141409040284;1;1;277;261
540.4542850010613;0;0;278;261
540.5855094908319;1;1;278;261
540.6639557770103;1;1;278;262
542.8189731197843;0;0;279;262
544.2274660537885;1;1;279;262
544.4861060011199;1;1;279;263
545.6086081304214;1;1;279;264
547.763390826964;0;0;280;264
548.0563225453791;1;1;280;264
548.7326519371386;1;1;280;265
549.0649700038673;0;0;281;265
549.4895063599693;1;1;281;265
549.9649541759459;1;1;281;266
551.2769486624684;0;0;282;266
551.3270321008281;1;1;282;266
551.7532108125349;0;0;283;266
553.7330956853767;1;1;283;266
554.4017003459375;1;1;283;267
555.0344752219991;0;0;284;267
555.5580799521505;1;1;284;267
555.8697278474294;1;1;284;268
556.6447999546436;1;1;284;269
557.5868519577715;0;0;285;269
558.0546974237008;1;1;285;269
558.4100198617385;1;1;285;270
560.0569153136624;0;0;286;270
561.2507496026013;1;1;286;270
562.5890508470529;0;0;287;270
562.9584007875876;1;1;287;270
563.7620530801988;0;0;288;270
563.7893975791332;1;1;288;270
564.095212907675;1;1;288;271
566.2761798845712;0;0;289;271
566.6873864765677;1;1;289;271
566.7777767179726;0;0;290;271
567.0664206971569;1;1;290;271
567.3882899234994;0;0;291;271
567.4579168142762;1;1;291;271
567.7254504113145;1;1;291;272
568.1870601945124;0;0;292;272
568.2674895448728;1;1;292;272
568.4633860161114;0;0;293;272
569.4924526025925;1;1;293;272
569.6529138759902;1;1;293;273
570.2729870181927;1;1;293;274
570.7114862641081;1;1;293;275
570.7151341774598;0;0;294;275
571.6208848620595;1;1;294;275
571.7221823044351;1;1;294;276
571.8019256251314;1;1;294;277
571.8962925168717;0;0;295;277
572.0831049627352;1;1;295;277
572.163691295404;0;0;296;277
572.886323519168;1;1;296;277
572.9869742795873;0;0;297;277
573.0944456668092;1;1;297;277
574.0289250750873;1;1;297;278
574.1233323278303;0;0;298;278
